book_id,isbn,title,author_id,genre,language,format,pages,price,copies_sold,rating,status,publish_date
33,ISBN-100033,Racing Against Time 136,38,Fantasy,Japanese,Audiobook,638,2316.92,192808,1.71,out_of_print,1987-03-18
34,ISBN-100034,The Lost Kingdom 819,41,History,English,Paperback,489,1038.46,359683,2.37,upcoming,2004-11-22
35,ISBN-100035,Beyond the Clouds 973,35,History,English,Paperback,564,1801.36,317946,1.24,published,2019-05-06
36,ISBN-100036,The Unfinished Story 374,16,Self-Help,French,Audiobook,851,1662.34,265593,4.47,upcoming,1999-09-06
37,ISBN-100037,Dark Reflections 272,48,Mystery,English,Audiobook,490,1925.67,130371,4.13,upcoming,1986-02-12
38,ISBN-100038,Through the Fire 416,49,History,Filipino,Paperback,459,2368.85,419784,1.25,published,1991-05-15
39,ISBN-100039,Shattered Illusions 136,48,Mystery,Spanish,Audiobook,91,849.41,261708,3.32,out_of_print,1990-08-17
40,ISBN-100040,The Unfinished Story 151,10,Fiction,Spanish,Paperback,569,1472.94,317748,4.34,out_of_print,1996-06-14
41,ISBN-100041,The Wandering Soul 918,3,History,English,E-Book,196,1816.95,78823,3.08,published,2015-07-06
42,ISBN-100042,The Turning Point 22,33,Non-Fiction,Japanese,Audiobook,550,1711.24,364223,3.03,published,2013-09-27
43,ISBN-100043,The Open Door 709,3,History,Japanese,Hardcover,742,1769.96,191920,4.18,upcoming,1989-09-14
44,ISBN-100044,Broken Silence 327,6,History,English,Audiobook,368,358.26,457784,4.02,published,2010-02-19
45,ISBN-100045,When Stars Fall 351,50,Self-Help,Japanese,Paperback,241,1812.42,337955,1.14,published,1996-07-07
46,ISBN-100046,Beneath the Surface 351,22,Self-Help,Filipino,E-Book,717,1650.1,305436,4.6,published,2019-02-07
47,ISBN-100047,The Unseen Path 826,37,Mystery,Japanese,Hardcover,508,1068.04,55295,2.81,published,2004-05-10
48,ISBN-100048,Shadows of Tomorrow 69,36,Mystery,English,Hardcover,103,829.56,140814,4.47,published,1983-09-01
49,ISBN-100049,Falling into Place 327,12,Biography,French,Paperback,835,1259.45,495080,4.95,published,2010-09-24
50,ISBN-100050,The Silent Storm 812,23,Science Fiction,English,Paperback,577,2453.84,400876,2.78,published,2010-09-21
51,ISBN-100051,The Golden Age 972,39,History,French,Audiobook,805,1973.6,127550,2.66,out_of_print,2014-08-31
52,ISBN-100052,Searching for Light 100,46,Non-Fiction,Spanish,E-Book,195,1603.62,76143,1.42,published,2010-07-03
53,ISBN-100053,Forgotten Dreams 421,47,Biography,Filipino,E-Book,412,502.87,430595,1.68,upcoming,1999-04-18
54,ISBN-100054,Broken Silence 838,33,Non-Fiction,French,Hardcover,88,437.82,349770,3.31,published,2010-01-21
55,ISBN-100055,Racing Against Time 701,42,Fantasy,French,Hardcover,328,1238.05,367618,3.28,published,1994-10-20
56,ISBN-100056,Searching for Light 742,27,Mystery,French,E-Book,390,1244.07,497129,1.41,upcoming,1980-01-24
57,ISBN-100057,The Silent Storm 940,7,History,French,Paperback,599,2490.99,488836,1.23,out_of_print,2011-04-23
58,ISBN-100058,The Last Sunrise 978,15,Mystery,English,E-Book,87,322.92,229178,3.05,upcoming,1992-05-14
59,ISBN-100059,The Long Walk Home 792,12,Biography,Filipino,Audiobook,568,1089.53,360820,2.67,published,2012-06-25
60,ISBN-100060,Searching for Light 683,38,Fantasy,Filipino,Hardcover,620,897.46,404389,3.7,published,2010-02-26
61,ISBN-100061,The Golden Age 737,5,History,Spanish,Hardcover,257,2045.61,203643,1.02,out_of_print,2019-08-09
62,ISBN-100062,The Endless Road 499,21,Fantasy,Filipino,Audiobook,289,2395.12,470127,3.48,out_of_print,1985-12-08
63,ISBN-100063,The Golden Age 759,2,Science Fiction,Filipino,Paperback,724,579.54,424213,3.91,upcoming,1995-02-07
64,ISBN-100064,The Last Sunrise 453,5,History,Japanese,Audiobook,477,2158.65,361366,1.26,upcoming,2019-10-27
65,ISBN-100065,Dark Reflections 152,23,Science Fiction,Filipino,E-Book,80,2168.6,433109,4.34,published,2023-07-15
66,ISBN-100066,When Stars Fall 654,6,History,French,E-Book,176,688.11,3321,1.72,published,2019-11-21
67,ISBN-100067,The Turning Point 166,24,Self-Help,Japanese,Audiobook,128,1803.99,472880,4.18,published,2008-09-10
68,ISBN-100068,The Wandering Soul 487,28,Fiction,Japanese,E-Book,564,1772.76,350632,3.74,published,1987-07-22
69,ISBN-100069,A New Beginning 204,28,Fiction,Japanese,Hardcover,886,1423.21,225921,2.36,published,1986-02-06
70,ISBN-100070,Racing Against Time 695,28,Fiction,French,E-Book,532,922.08,330401,2.23,published,1990-04-02
71,ISBN-100071,Shattered Illusions 404,3,History,French,E-Book,683,1256.11,182901,2.72,published,2022-10-28
72,ISBN-100072,The Last Sunrise 855,18,History,Japanese,Audiobook,798,474.92,171941,2.22,published,2016-07-02
73,ISBN-100073,Letters to Nobody 471,6,History,Filipino,E-Book,163,440.24,157064,3.4,published,1984-01-05
74,ISBN-100074,The Endless Road 612,45,Mystery,Filipino,E-Book,806,674.82,47867,1.21,published,1997-01-16
75,ISBN-100075,The Turning Point 697,7,History,Spanish,Audiobook,656,402.57,4599,2.94,published,2021-03-20
76,ISBN-100076,The Turning Point 169,43,Science Fiction,French,Hardcover,464,1042.83,420449,4.13,out_of_print,1988-02-24
77,ISBN-100077,The Golden Age 660,46,Non-Fiction,Spanish,Audiobook,758,423.22,34886,2.95,out_of_print,2008-10-21
78,ISBN-100078,The Endless Road 189,22,Self-Help,French,E-Book,506,740.75,497678,1.78,published,1989-06-11
79,ISBN-100079,The Unseen Path 780,26,Mystery,Japanese,Hardcover,795,850.97,388799,4.04,published,1985-07-10
80,ISBN-100080,Dark Reflections 839,49,History,French,E-Book,587,700.64,27467,3.21,out_of_print,2023-04-22
81,ISBN-100081,Beyond the Clouds 131,19,Mystery,Japanese,Audiobook,305,2008.55,406507,2.79,upcoming,1994-09-18
82,ISBN-100082,Dark Reflections 666,19,Mystery,Japanese,Hardcover,287,1906.2,398142,2.18,out_of_print,2021-12-01
83,ISBN-100083,Racing Against Time 610,10,Fiction,English,Paperback,246,2260.24,207130,4.46,published,2020-09-28
84,ISBN-100084,Fragments of Hope 671,11,Self-Help,Spanish,Paperback,544,1003.65,7131,2.19,published,1985-07-17
85,ISBN-100085,The Unseen Path 465,12,Biography,Japanese,Paperback,279,830.46,22213,2.88,published,2010-04-02
86,ISBN-100086,Beneath the Surface 911,48,Mystery,Spanish,Hardcover,496,2413.39,173163,1.69,upcoming,1987-08-05
87,ISBN-100087,The Perfect Storm 936,17,Fantasy,Spanish,Hardcover,105,751.57,339505,4.43,upcoming,2009-05-08
88,ISBN-100088,The Last Sunrise 883,50,Self-Help,Japanese,Audiobook,536,1203.89,137581,2.67,published,2022-01-23
89,ISBN-100089,The Awakening 454,44,Science Fiction,Spanish,E-Book,173,1675.08,149224,1.6,upcoming,2010-04-17
90,ISBN-100090,Into the Unknown 778,4,Non-Fiction,English,Audiobook,784,1486.25,302175,4.43,published,2013-07-08
91,ISBN-100091,The Lost Kingdom 827,19,Mystery,Spanish,Audiobook,635,550.49,397798,2.44,out_of_print,1993-07-28
92,ISBN-100092,The Last Sunrise 627,9,Non-Fiction,English,Audiobook,303,1883.31,57988,4.22,published,1998-11-09
93,ISBN-100093,Dark Reflections 510,42,Fantasy,Spanish,Hardcover,159,294.73,278322,2.26,published,1997-07-25
94,ISBN-100094,Shadows of Tomorrow 285,47,Biography,French,Hardcover,379,1244.36,197293,3.61,out_of_print,1989-08-29
95,ISBN-100095,The Wandering Soul 150,30,Fiction,English,Audiobook,89,2400.66,357635,3.49,out_of_print,2006-03-02
96,ISBN-100096,Dark Reflections 729,6,History,Japanese,Audiobook,326,839.08,270039,2.71,out_of_print,2013-01-11
97,ISBN-100097,The Long Walk Home 744,6,History,Filipino,Paperback,820,1083.59,492865,2.25,upcoming,1992-07-13
98,ISBN-100098,Beyond the Horizon 302,15,Mystery,Spanish,Paperback,510,979.7,304307,2.4,out_of_print,2021-09-07
99,ISBN-100099,Voices from the Past 943,10,Fiction,Filipino,Hardcover,410,1987.32,135943,2.37,published,1988-03-05
100,ISBN-100100,The Empty Canvas 34,24,Self-Help,Filipino,Hardcover,854,1076.06,285005,3.57,out_of_print,2016-03-21
101,ISBN-100101,The Final Chapter 678,9,Non-Fiction,Spanish,Hardcover,691,1989.82,239081,2.86,upcoming,2016-11-09
102,ISBN-100102,Shattered Illusions 874,43,Science Fiction,Japanese,Paperback,649,1466.7,249405,1.8,upcoming,1984-02-10
103,ISBN-100103,The Empty Canvas 179,32,Self-Help,Spanish,Hardcover,517,2492.16,351403,3.38,upcoming,2009-10-04
104,ISBN-100104,A Thousand Miles 659,48,Mystery,French,Audiobook,778,1366.27,6413,3.07,published,2019-04-19
105,ISBN-100105,Through the Fire 530,1,Science Fiction,Japanese,E-Book,413,2002.93,140283,1.35,published,1996-05-03
106,ISBN-100106,Letters to Nobody 826,15,Mystery,French,E-Book,676,1878.06,349713,2.98,published,1998-06-28
107,ISBN-100107,Falling into Place 231,27,Mystery,Japanese,Hardcover,842,2464.01,391610,3.22,published,2005-05-17
108,ISBN-100108,The Empty Canvas 667,29,Self-Help,Filipino,Audiobook,330,1897.91,383056,2.49,published,2011-10-23
109,ISBN-100109,The Unseen Path 724,30,Fiction,French,Audiobook,817,604.16,141668,3.14,published,1993-11-04
110,ISBN-100110,A Thousand Miles 38,8,Science Fiction,French,Hardcover,539,2073.64,243908,4.12,published,2013-05-24
111,ISBN-100111,The Broken Mirror 732,16,Self-Help,Spanish,Paperback,351,883.88,375641,3.62,out_of_print,1985-02-26
112,ISBN-100112,Letters to Nobody 3,17,Fantasy,English,Audiobook,765,1766.9,2062,4.14,published,1999-08-22
113,ISBN-100113,A New Beginning 56,23,Science Fiction,Filipino,Audiobook,116,962.33,344106,4.97,published,1981-07-17
114,ISBN-100114,The Golden Age 905,28,Fiction,Japanese,Hardcover,548,1105.39,30318,4.92,out_of_print,1999-02-19
115,ISBN-100115,The Last Sunrise 262,47,Biography,English,Paperback,712,820.29,176047,2.18,published,1987-11-27
116,ISBN-100116,Searching for Light 37,1,Science Fiction,English,E-Book,308,718.73,209171,3.72,published,1982-11-24
117,ISBN-100117,Through the Fire 840,15,Mystery,Spanish,E-Book,665,2314.88,217126,1.0,upcoming,2018-11-23
118,ISBN-100118,Beyond the Clouds 276,47,Biography,Filipino,Audiobook,305,658.46,313073,2.73,out_of_print,1991-06-26
119,ISBN-100119,The Awakening 125,9,Non-Fiction,Spanish,E-Book,813,1733.65,147755,3.61,upcoming,2019-05-23
120,ISBN-100120,The Missing Piece 588,1,Science Fiction,Japanese,E-Book,173,444.78,322349,4.58,published,1980-02-17
121,ISBN-100121,Beneath the Surface 947,40,History,French,Hardcover,720,2097.2,452540,2.11,upcoming,2001-07-31
122,ISBN-100122,The Lost Kingdom 796,37,Mystery,French,Paperback,325,2430.05,115245,3.04,upcoming,1984-04-11
123,ISBN-100123,Searching for Light 508,48,Mystery,Filipino,E-Book,744,712.18,22099,3.6,out_of_print,1991-08-05
124,ISBN-100124,The Broken Mirror 187,35,History,French,E-Book,852,2488.9,250521,2.6,published,2011-06-03
125,ISBN-100125,Shadows of Tomorrow 176,20,Self-Help,Japanese,Paperback,91,844.66,173877,1.0,upcoming,2019-09-16
126,ISBN-100126,Letters to Nobody 336,42,Fantasy,French,E-Book,166,657.84,70070,4.04,published,2015-08-07
127,ISBN-100127,The Wandering Soul 45,24,Self-Help,Spanish,Audiobook,829,1501.29,30750,4.46,out_of_print,2007-04-14
128,ISBN-100128,Into the Unknown 818,47,Biography,French,Hardcover,95,1497.16,44468,4.82,upcoming,1989-05-04
129,ISBN-100129,The Burning Sky 305,13,Self-Help,Spanish,Paperback,99,1196.39,111204,1.57,upcoming,2023-08-21
130,ISBN-100130,Broken Silence 31,6,History,Filipino,Audiobook,649,823.01,424458,1.64,upcoming,2001-03-17
131,ISBN-100131,Searching for Light 423,46,Non-Fiction,Filipino,Paperback,140,1400.35,138779,4.61,published,2005-12-05
132,ISBN-100132,The Endless Road 708,11,Self-Help,French,Audiobook,134,1273.59,487198,1.42,upcoming,1985-12-07
133,ISBN-100133,Voices from the Past 948,29,Self-Help,English,Audiobook,365,293.77,277429,2.74,published,1999-08-02
134,ISBN-100134,The Empty Canvas 335,3,History,English,Paperback,348,692.88,356319,2.31,published,2015-06-29
135,ISBN-100135,A New Beginning 946,18,History,French,Hardcover,696,1940.8,13485,2.48,published,2021-03-05
136,ISBN-100136,Shadows of Tomorrow 478,37,Mystery,English,E-Book,825,976.27,242081,2.48,out_of_print,1990-01-18
137,ISBN-100137,The Final Chapter 899,21,Fantasy,Filipino,Audiobook,98,2131.62,404063,3.18,published,2012-07-06
138,ISBN-100138,Shadows of Tomorrow 321,41,History,English,Paperback,411,569.69,393756,2.6,upcoming,1991-08-17
139,ISBN-100139,Shadows of Tomorrow 346,39,History,Filipino,Paperback,594,716.21,305648,2.24,out_of_print,1986-11-16
140,ISBN-100140,The Turning Point 68,15,Mystery,French,Hardcover,623,1633.63,460822,4.28,out_of_print,1997-11-28
141,ISBN-100141,Falling into Place 380,38,Fantasy,French,E-Book,870,1546.1,214266,2.39,upcoming,2006-01-23
142,ISBN-100142,Voices from the Past 828,32,Self-Help,Filipino,Hardcover,360,1722.88,119668,2.9,published,2003-07-27
143,ISBN-100143,The Unseen Path 870,27,Mystery,English,Paperback,394,1374.93,426589,3.38,published,2020-11-24
144,ISBN-100144,The Last Sunrise 441,39,History,Spanish,E-Book,639,1402.94,180662,1.8,published,2005-07-22
145,ISBN-100145,Broken Silence 602,9,Non-Fiction,English,Audiobook,93,598.79,210994,1.03,published,1991-03-22
146,ISBN-100146,The Missing Piece 750,33,Non-Fiction,Filipino,Audiobook,231,1784.21,427224,4.85,upcoming,1982-04-06
147,ISBN-100147,Through the Fire 358,14,Fantasy,French,Audiobook,397,1346.43,71707,2.87,published,2011-11-24
148,ISBN-100148,Whispers of Time 336,39,History,French,E-Book,649,451.57,387439,1.24,published,1983-05-05
149,ISBN-100149,The Perfect Storm 499,31,Non-Fiction,French,Paperback,127,2177.7,494507,2.07,published,2008-09-28
150,ISBN-100150,Falling into Place 208,11,Self-Help,Spanish,Hardcover,299,1297.91,440176,2.45,published,2015-11-25
151,ISBN-100151,The Golden Age 899,3,History,French,Audiobook,739,1352.95,459115,4.87,published,2011-11-12
152,ISBN-100152,Letters to Nobody 392,31,Non-Fiction,Filipino,Audiobook,431,1219.34,205219,1.7,upcoming,1981-05-22
153,ISBN-100153,The Last Sunrise 288,26,Mystery,Spanish,Hardcover,697,1849.09,6654,4.4,published,1998-04-04
154,ISBN-100154,The Wandering Soul 450,43,Science Fiction,Spanish,Paperback,874,919.57,383204,3.44,upcoming,1993-10-16
155,ISBN-100155,The Last Sunrise 384,19,Mystery,English,E-Book,253,239.18,194902,3.44,published,2011-05-02
156,ISBN-100156,The Hidden Truth 594,49,History,French,Audiobook,659,1988.59,292517,2.8,upcoming,2019-11-03
157,ISBN-100157,Shattered Illusions 828,34,Fantasy,English,E-Book,315,249.57,376524,1.09,out_of_print,1997-08-31
158,ISBN-100158,Shadows of Tomorrow 802,27,Mystery,Japanese,Hardcover,647,1738.16,430413,2.26,published,1997-01-22
159,ISBN-100159,The Perfect Storm 452,48,Mystery,English,Audiobook,851,1361.01,90350,2.28,out_of_print,1998-07-29
160,ISBN-100160,Beyond the Horizon 867,27,Mystery,English,Hardcover,643,1928.93,87418,4.68,out_of_print,1984-05-04
161,ISBN-100161,The Empty Canvas 822,33,Non-Fiction,Spanish,Paperback,304,920.67,208854,1.88,published,1994-07-28
162,ISBN-100162,Forgotten Dreams 322,26,Mystery,Filipino,Paperback,852,1905.12,235797,1.84,published,2002-06-27
163,ISBN-100163,The Broken Mirror 448,4,Non-Fiction,Spanish,Audiobook,656,1912.96,435199,1.93,published,1983-09-13
164,ISBN-100164,Through the Fire 976,22,Self-Help,Filipino,Hardcover,767,777.6,128641,4.25,published,2000-08-10
165,ISBN-100165,Beneath the Surface 28,7,History,French,E-Book,194,2138.04,24615,4.32,published,2012-02-08
166,ISBN-100166,Whispers of Time 393,30,Fiction,Spanish,Paperback,646,778.54,24022,2.21,published,2013-04-23
167,ISBN-100167,The Unseen Path 812,7,History,Filipino,E-Book,858,491.83,324543,4.57,published,2016-01-15
168,ISBN-100168,The Final Chapter 714,11,Self-Help,Japanese,Paperback,756,2291.83,27662,1.5,upcoming,2021-05-05
169,ISBN-100169,Beyond the Clouds 342,35,History,French,Hardcover,881,2051.24,309001,2.83,out_of_print,2019-02-04
170,ISBN-100170,The Open Door 5,9,Non-Fiction,Filipino,Hardcover,314,1558.37,33952,2.63,published,1991-07-06
171,ISBN-100171,The Wandering Soul 827,44,Science Fiction,French,Hardcover,328,2198.96,375137,1.88,published,1992-01-28
172,ISBN-100172,Dark Reflections 500,49,History,Japanese,E-Book,648,2305.59,357731,1.66,published,1996-03-16
173,ISBN-100173,Falling into Place 370,21,Fantasy,Spanish,Audiobook,301,2227.83,148316,4.74,published,1999-02-14
174,ISBN-100174,Shadows of Tomorrow 41,3,History,Filipino,Hardcover,773,2129.2,126894,3.33,published,1982-01-04
175,ISBN-100175,The Missing Piece 732,48,Mystery,Spanish,Hardcover,100,930.75,351259,1.44,published,2002-08-10
176,ISBN-100176,Shattered Illusions 411,6,History,French,Hardcover,410,566.21,69229,3.62,published,1981-03-31
177,ISBN-100177,The Broken Mirror 697,26,Mystery,Spanish,Audiobook,698,1287.93,131381,2.62,published,1991-07-24
178,ISBN-100178,The Unseen Path 711,20,Self-Help,Filipino,Paperback,551,1879.43,351595,4.69,published,2009-02-05
179,ISBN-100179,Beyond the Horizon 783,40,History,English,Hardcover,776,949.5,50581,4.52,published,1989-06-20
180,ISBN-100180,Broken Silence 564,37,Mystery,English,Audiobook,776,1159.49,373418,1.44,upcoming,2002-09-26
181,ISBN-100181,The Final Chapter 110,34,Fantasy,English,Hardcover,749,1092.21,99432,2.48,published,1997-11-03
182,ISBN-100182,The Endless Road 667,4,Non-Fiction,English,Hardcover,127,1557.95,256871,3.31,published,2006-03-12
183,ISBN-100183,Echoes in the Dark 681,50,Self-Help,Japanese,E-Book,200,1727.77,331753,1.88,upcoming,2016-07-12
184,ISBN-100184,Letters to Nobody 76,41,History,English,Audiobook,618,1857.86,232529,1.48,published,2009-09-09
185,ISBN-100185,The Burning Sky 74,1,Science Fiction,Japanese,Paperback,372,244.97,160693,1.57,published,2021-11-30
186,ISBN-100186,Racing Against Time 571,44,Science Fiction,French,E-Book,505,898.04,320586,2.69,published,1980-04-02
187,ISBN-100187,Echoes in the Dark 727,23,Science Fiction,Spanish,E-Book,387,1697.64,213669,1.04,published,1987-06-29
188,ISBN-100188,The Unseen Path 748,22,Self-Help,English,E-Book,99,1232.41,447402,4.59,published,1983-10-06
189,ISBN-100189,Into the Unknown 263,50,Self-Help,Spanish,Hardcover,95,775.21,462805,4.51,published,2022-09-25
190,ISBN-100190,The Hidden Truth 339,9,Non-Fiction,English,E-Book,604,430.21,471979,1.22,out_of_print,2007-05-31
191,ISBN-100191,Voices from the Past 612,35,History,French,Audiobook,668,1586.1,336544,1.35,published,1986-03-04
192,ISBN-100192,Shadows of Tomorrow 248,45,Mystery,Spanish,Paperback,97,2356.28,62871,2.28,published,1985-01-14
193,ISBN-100193,Whispers of Time 365,8,Science Fiction,English,Paperback,140,2277.51,435001,3.09,published,1999-08-01
194,ISBN-100194,Beneath the Surface 612,30,Fiction,English,E-Book,841,1107.26,33097,1.72,published,2011-12-14
195,ISBN-100195,The Silent Storm 836,42,Fantasy,French,Paperback,722,1331.88,25176,2.97,out_of_print,1988-11-13
196,ISBN-100196,Dark Reflections 807,7,History,French,Audiobook,292,324.34,311116,1.17,published,1990-06-27
197,ISBN-100197,The Perfect Storm 836,6,History,Spanish,Hardcover,454,1821.11,449638,4.49,published,2001-01-27
198,ISBN-100198,The Final Chapter 76,8,Science Fiction,English,E-Book,284,1813.33,321020,3.66,published,2013-03-07
199,ISBN-100199,The Unseen Path 645,6,History,French,Hardcover,526,883.16,144955,2.3,published,2021-07-23
200,ISBN-100200,Letters to Nobody 582,42,Fantasy,Japanese,Hardcover,349,1944.37,332120,3.58,published,2015-01-10
201,ISBN-100201,The Final Chapter 500,31,Non-Fiction,Japanese,Paperback,413,1127.37,432987,2.99,published,1988-07-06
202,ISBN-100202,Into the Unknown 257,46,Non-Fiction,Filipino,Hardcover,127,2147.28,485325,2.75,published,1999-02-10
203,ISBN-100203,Beneath the Surface 954,18,History,Filipino,Audiobook,611,2413.47,211559,4.7,published,1994-10-20
204,ISBN-100204,The Broken Mirror 709,16,Self-Help,French,Hardcover,160,1965.64,115566,1.11,out_of_print,1997-10-08
205,ISBN-100205,The Lost Kingdom 335,50,Self-Help,Spanish,Hardcover,632,2352.61,284241,2.47,published,1988-03-05
206,ISBN-100206,The Final Chapter 320,17,Fantasy,English,Hardcover,454,1299.84,488076,4.28,published,2008-10-23
207,ISBN-100207,Forgotten Dreams 659,6,History,English,Audiobook,135,384.25,12075,3.24,out_of_print,2014-04-29
208,ISBN-100208,The Broken Mirror 691,42,Fantasy,Filipino,Hardcover,291,2067.16,451045,4.22,published,1985-11-18
209,ISBN-100209,Whispers of Time 535,4,Non-Fiction,English,Paperback,760,611.09,385592,1.65,out_of_print,2011-07-10
210,ISBN-100210,Through the Fire 812,28,Fiction,English,Hardcover,197,985.1,112419,3.71,published,2007-03-18
211,ISBN-100211,The Silent Storm 208,4,Non-Fiction,French,E-Book,870,1719.78,129580,4.03,published,2020-10-29
212,ISBN-100212,Broken Silence 460,38,Fantasy,Spanish,E-Book,173,1629.96,285158,3.37,out_of_print,2020-07-06
213,ISBN-100213,Beyond the Clouds 447,34,Fantasy,Filipino,Hardcover,90,715.17,244163,2.78,published,2013-02-05
214,ISBN-100214,Shadows of Tomorrow 365,24,Self-Help,French,Hardcover,322,2254.43,181960,1.99,published,2019-03-15
215,ISBN-100215,Beyond the Horizon 706,19,Mystery,English,Paperback,253,2176.99,286747,1.6,published,1983-12-24
216,ISBN-100216,The Empty Canvas 83,36,Mystery,French,Paperback,467,367.3,268513,1.22,published,2021-03-15
217,ISBN-100217,Racing Against Time 313,39,History,English,Paperback,559,1985.57,235926,4.79,published,2000-04-15
218,ISBN-100218,The Endless Road 332,29,Self-Help,Spanish,E-Book,84,717.31,315931,3.51,upcoming,2021-05-16
219,ISBN-100219,Voices from the Past 125,19,Mystery,English,Audiobook,608,524.15,225030,4.73,upcoming,2011-08-11
220,ISBN-100220,The Final Chapter 989,12,Biography,Spanish,Audiobook,828,1275.72,56461,2.97,out_of_print,2019-09-21
221,ISBN-100221,Racing Against Time 838,2,Science Fiction,Filipino,Audiobook,702,2286.26,88247,3.71,published,1997-02-26
222,ISBN-100222,The Last Sunrise 546,32,Self-Help,Spanish,Paperback,475,1324.52,266478,2.15,out_of_print,2003-02-25
223,ISBN-100223,The Awakening 69,29,Self-Help,Filipino,E-Book,205,897.74,251621,1.9,out_of_print,2021-03-23
224,ISBN-100224,When Stars Fall 826,15,Mystery,Japanese,Audiobook,189,2253.54,154028,3.42,published,2005-07-01
225,ISBN-100225,The Unfinished Story 46,1,Science Fiction,Japanese,Paperback,152,1067.87,265037,4.13,out_of_print,1990-01-04
226,ISBN-100226,Into the Unknown 319,6,History,Filipino,E-Book,331,1408.45,460930,1.34,published,1996-10-25
227,ISBN-100227,Searching for Light 456,17,Fantasy,Filipino,E-Book,859,2158.45,441891,2.84,published,1992-02-10
228,ISBN-100228,The Wandering Soul 522,2,Science Fiction,Filipino,E-Book,602,1845.62,137059,1.05,published,2019-06-03
229,ISBN-100229,The Long Walk Home 74,28,Fiction,Japanese,Hardcover,117,2205.96,140362,2.21,published,2020-09-02
